ID;Nombre;Nombre Propietario;Nombre Grupo;Comuna;Tipo Central;Nemotecnico;Descripcion;Estado (Operativa/En Pruebas / En Construccion);Nombre Embalse;Nombre Cuenca;11.1.1 Cantidad unidades generadoras;11.1.2 Puntos de conexión al SI a través de los cuales inyecta energía.;11.1.4 Potencia máxima bruta, para cada tipo de combustible que pueda operar;11.1.5 Consumos propios como % de la potencia máxima bruta;11.1.6 Capacidad máxima, Potencia neta efectiva;11.1.7 Potencia mínima técnica, para cada combustible que pueda operar;11.1.11 Fecha de entrada en operación;Clasificacion;Distribuidora;Diagrama PQ equivalente de la central;Tipo de conversión de energía;Convencional / ERNC;Medio de generacion según DS 244;11.1.38 Tipo;11.1.38 Región;11.1.8 Provincia;11.1.8 Comuna;11.1.38 Número de Comunas de Emplazamiento;11.1.38 Sala de Maquinas: Comuna;11.1.38 Bocatoma: Comuna;11.1.38 Represa: Comuna;11.1.38 Embalse Comuna 1;11.1.38 Embalse Comuna 2;11.1.38 Embalse Comuna 3;11.1.39 Coordenada este;11.1.39 Coordenada norte;11.1.39 Zona o huso [ej: 18H, 19J];11.1.40 Parámetros de partida y detención;Seguimiento;Tecnología;Área de paneles (m2);Modelo del panel;Generación anual de diseño (GWh);Inversión;Empresa;Fecha ingreso SEIA;Fecha de aprobación;LINK;
2;MAULE;ELEKTRAGEN;ELEKTRA GENERACION;Constitución;Termoeléctricas;CE06G035;PMG;Operativa;no aplica;no aplica;6;S/E CONSTITUCION 23KV;6;0;6;0,375;06/06/2007;TÉRMICA;CGE DISTRIBUCIÓN;EQUIVALENTE EQUIPOS;;;PMG;TERMICA;MAULE;TALCA;CONSTITUCIÓN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;735611,9866;6083902,072;18;no aplica;;;;;;;;;;;
3;CHILOÉ;ELEKTRAGEN;ELEKTRA GENERACION;Quellón;Termoeléctricas;CE05G035;PMG;Operativa;no aplica;no aplica;9;S/E QUELLON 23KV;9;0;9;0,6;07/08/2008;TÉRMICA;SAESA;EQUIVALENTE EQUIPOS;;;PMG;DIESEL;DE LOS LAGOS;CHILOÉ;QUELLÓN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;612679,9727;5228107,067;18G;;;;;;;;;;;;
4;CONSTITUCIÓN 1;ELEKTRAGEN;ELEKTRA GENERACION;Constitución;Termoeléctricas;CE01G035;PMG;Operativa;no aplica;no aplica;6;S/E CONSTITUCION 23KV;9;0;9;0;06/06/2007;TÉRMICA;CGE DISTRIBUCIÓN;EQUIVALENTE EQUIPOS;;;PMG;DIESEL;MAULE;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;735611,9866;6083902,072;18H;;;;;;;;;;;;
5;MARIPOSAS;HIDROLIRCAY;HIDROLIRCAY;San Clemente;Hidroeléctricas;CE01G071;PMG;Operativa;no aplica;no aplica;1;S/E MARIPOSAS 66kV;6,3;0,23;6,28551;;26-03-2011;ERNC;no aplica;;;;PMG;Mini Hidráulica de Pasada;MAULE;TALCA;SAN CLEMENTE;1;SAN CLEMENTE;SAN CLEMENTE;no aplica;no aplica;no aplica;no aplica;294922,8131;6058518,95;19;;;;;;;;;;;;
6;EL RINCÓN;PUNTILLA;PUNTILLA;La Florida;Hidroeléctricas;CE05G019;PMG;Operativa;no aplica;no aplica;1;S/E FLORIDA 12KV;0,289;1,5;0,284665;0,25;13-04-2007;ERNC;no aplica;;;;PMG;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;;;1;LA FLORIDA;no aplica;no aplica;no aplica;no aplica;no aplica;356750,0038;6286889,046;19H;;;;;;;;;;;;
7;EYZAGUIRRE;PUNTILLA;PUNTILLA;Puente Alto;Hidroeléctricas;CE04G019;PMGD;Operativa;no aplica;no aplica;1;S/E FLORIDA 12KV;1,9;1,5;1,8715;;01-01-2003;ERNC;CGE;;;;PMGD;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;CORDILLERA;PUENTE ALTO;1;PUENTE ALTO;no aplica;no aplica;no aplica;no aplica;no aplica;359850,9833;6280295,027;19H;;;;;;;;;;;;
8;CONCÓN;TECNORED;TECNORED;Concón;Termoeléctricas;CE01G031;PMG;Operativa;no aplica;no aplica;3;S/E CONCON 12kV;2,3;0;2,3;0;24-04-2007;TÉRMICA;no aplica;;;;PMG;DIESEL;VALPARAÍSO;VALPARAÍSO;CONCÓN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;268663,9816;6353411,002;19H;;;;;;;;;;;;
9;EL TOTORAL;TECNORED;TECNORED;El Quisco;Termoeléctricas;CE07G031;PMG;Operativa;no aplica;no aplica;3;S/E EL TOTORAL 12kV;3;0;3;0;07/04/2008;TÉRMICA;no aplica;;;;PMG;DIESEL;VALPARAÍSO;SAN ANTONIO;EL QUISCO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;254850,5467;6298164,854;19H;;;;;;;;;;;;
10;LAS VEGAS;TECNORED;TECNORED;Llaillay;Termoeléctricas;CE02G031;PMG;Operativa;no aplica;no aplica;2;S/E LAS VEGAS 110kv;2,1;0,05;2,09895;0;20-04-2007 0:00:00;TÉRMICA;no aplica;;;;PMG;DIESEL;VALPARAÍSO;SAN FELIPE DE ACONCAGUA;LLAILLAY;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;311789,1511;6364331,291;19H;;;;;;;;;;;;
11;LINARES NORTE;TECNORED;TECNORED;Linares;Termoeléctricas;CE09G031;PMG;Operativa;no aplica;no aplica;1;S/E LINARES NORTE 13.2kV;0,5;0;0,5;0;20/03/2009 12:00:00 a.m.;TÉRMICA;no aplica;;;;PMG;DIESEL;MAULE;LINARES;LINARES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;261185,8383;6032009,453;19H;;;;;;;;;;;;
12;PLACILLA;TECNORED;TECNORED;Valparaíso;Termoeléctricas;CE06G031;PMG;Operativa;no aplica;no aplica;3;S/E PLACILLA 12kV;2,4;0;2,4;0;05/02/2008 12:00:00 a.m.;TÉRMICA;no aplica;;;;PMG;DIESEL;VALPARAÍSO;VALPARAÍSO;VALPARAÍSO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;261225,116;6333821,457;19H;;;;;;;;;;;;
13;QUINTAY;TECNORED;TECNORED;Casablanca;Termoeléctricas;CE05G031;PMG;Operativa;no aplica;no aplica;3;S/E QUINTAY 66kV;3;0;3;0;07/04/2008 12:00:00 a.m.;TÉRMICA;no aplica;;;;PMG;DIESEL;VALPARAÍSO;VALPARAÍSO;CASABLANCA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;252104,27;6322350,009;19H;;;;;;;;;;;;
14;SAN GREGORIO;TECNORED;TECNORED;Ñiquén;Termoeléctricas;CE08G031;PMG;Operativa;no aplica;no aplica;1;S/E SAN GREGORIO 13.2kV;0,5;0;0,5;0;2009;TÉRMICA;no aplica;;;;PMG;DIESEL;ÑUBLE;PUNILLA;ÑIQUÉN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;246807,4656;5981448,365;19H;;;;;;;;;;;;
15;AUXILIAR DEL MAIPO;CAEMSA;CAEMSA;San Bernardo;Hidroeléctricas;CE01G081;PMGD;Operativa;no aplica;no aplica;3;S/E CARBOMET 12KV;5,1;0,5;5,0745;;1962;ERNC;CGED;;;;PMGD;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;MAIPO;SAN BERNARDO;2;SAN BERNARDO;SAN BERNARDO;no aplica;SAN BERNARDO;PUENTE ALTO;no aplica;348549,9765;6276264,961;19H;;;;;;;;;;;;
16;LOS BAJOS;CARBOMET;CARBOMET;Puente Alto;Hidroeléctricas;CE02G022;PMGD;Operativa;no aplica;no aplica;1;S/E CARBOMET 12 KV;5,5;0,5;5,4725;;2014;ERNC;CGED;;;;PMGD;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;CORDILLERA;PUENTE ALTO;1;PUENTE ALTO;no aplica;no aplica;no aplica;no aplica;no aplica;357082,0289;6279051,622;19H;;;;;;;;;;;;
17;LOS MORROS;CELMSA;CELMSA;San Bernardo;Hidroeléctricas;CE01G023;PMGD;Operativa;no aplica;no aplica;5;S/E LOS MORROS;3,1;1,5;3,0535;;"1930 U1-U2-U3; 1994 U4-U5";HIDRÁULICA;no aplica;;;;PMGD;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;MAIPO;SAN BERNARDO;1;SAN BERNARDO;no aplica;no aplica;no aplica;no aplica;no aplica;348496,7774;6276265,139;19H;;;;;;;;;;;;
19;EÓLICA LEBU;PARQUE EÓLICO LEBU;CRISTALERIAS TORO;Lebu;Eólicas;CE01G053;PMG;Operativa;no aplica;no aplica;9;S/E LEBU 66 KV;6,54;0,6;6,50076;;01/05/2009 12:00:00 A.M.;ERNC;no aplica;;;;PMG;EÓLICA;BÍO BÍO;ARAUCO;LEBU;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;619571,6065;5828898,504;18H;;;;;;;;;;;;
20;DONGUIL;DONGUIL ENERGÍA;DONGUIL ENERGIA;Gorbea;Hidroeléctricas;CE01G080;PMGD;Operativa;no aplica;no aplica;1;S/E PITRUFQUEN;0,25;0,8;0,248;0;28-05-2011 0:00:00;ERNC;FRONTEL;;;;PMGD;Mini Hidráulica de Pasada;ARAUCANÍA;CAUTÍN;GORBEA;1;GORBEA;no aplica;no aplica;no aplica;no aplica;no aplica;701058,0139;5667319,011;18H;;;;;;;;;;;;
21;EL MANZANO;HIDROELÉCTRICA EL MANZANO;HIDROELECTRICA EL MANZANO - EL CANELO;Melipeuco;Hidroeléctricas;CE01G044;PMGD;Operativa;no aplica;no aplica;1;S/E LICANCO;4,85;0;4,85;;2008;ERNC;FRONTEL;;;;PMGD;Mini Hidráulica de Pasada;ARAUCANÍA;CAUTÍN;MELIPEUCO;1;MELIPEUCO;no aplica;no aplica;no aplica;no aplica;no aplica;255838,8947;5697556,918;19H;;;;;;;;;;;;
22;MONTE PATRIA;ELEKTRAGEN;ELEKTRA GENERACION;Monte Patria;Termoeléctricas;CE04G035;PMGD;Operativa;no aplica;no aplica;8;S/E CENTRAL MONTE PATRIA;9;0;9;1;12/07/2007 12:00:00 A.M.;TÉRMICA;CONAFE;EQUIVALENTE EQUIPOS;;;PMGD;DIESEL;COQUIMBO;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;313329,9999;6602431,014;19J;;;;;;;;;;;;
23;PUNITAQUI;ELEKTRAGEN;ELEKTRA GENERACION;Punitaqui;Termoeléctricas;CE03G035;PMGD;Operativa;no aplica;no aplica;6;S/E PUNITAQUI;9;0;9;1;06/07/2007 12:00:00 A.M.;TÉRMICA;CONAFE;EQUIVALENTE EQUIPOS;;;PMGD;DIESEL;COQUIMBO;LIMARÍ;PUNITAQUI;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;285735,9999;6584016,015;19J;;;;;;;;;;;;
24;DOÑA HILDA;CARRÁN;GANADERIA Y FORESTAL CARRAN;Lago Ranco;Hidroeléctricas;CE01G072;PMGD;Operativa;no aplica;no aplica;1;S/E PICHIRROPULLI 23KV;0,42;0,25;0,41895;;20-11-2010 0:00:00;ERNC;SAESA;;;;PMGD;Mini Hidráulica de Pasada;DE LOS RÍOS;RANCO;LAGO RANCO;1;LAGO RANCO;no aplica;no aplica;no aplica;no aplica;no aplica;754435,8878;5529528,323;18G;;;;;;;;;;;;
25;PEHUI;PEHUI LTDA;GENERHOM;Río Bueno;Hidroeléctricas;CE01G137;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR PILMAIQUEN - MANTIHUE 23 KV;1,1;0;1,1;;01/01/2001 12:00:00 a.m.;HIDRÁULICA;SAESA;;;;PMGD;Mini Hidráulica de Pasada;DE LOS RÍOS;;;1;RIO BUENO;no aplica;no aplica;no aplica;no aplica;no aplica;710299,9691;5507487,008;18G;;;;;;;;;;;;
26;SAUCE ANDES;GESAN;GESAN;Los Andes;Hidroeléctricas;CE01G007;PMGD;Operativa;no aplica;no aplica;4;S/E SAN RAFAEL, ALIMENTADOR SAN VICENTE;1,4;1,5;1,379;;1909;HIDRÁULICA;no aplica;;;;PMGD;Mini Hidráulica de Pasada;VALPARAÍSO;LOS ANDES;LOS ANDES;1;LOS ANDES;no aplica;no aplica;no aplica;no aplica;no aplica;355949,0106;6366251,051;19H;;;;;;;;;;;;
27;JUNCALITO;COLBUN;COLBUN;Los Andes;Hidroeléctricas;CE17G004;PMG;Operativa;no aplica;no aplica;1;S/E HORNITOS 220KV;1,52;0;1,52;0,2;01/02/2017 12:00:00 A.M.;HIDRÁULICA;;;;;PMG;MINI HIDRÁULICA DE PASADA;VALPARAÍSO;LOS ANDES;LOS ANDES;1;LOS ANDES;no aplica;no aplica;no aplica;no aplica;no aplica;381257,96;6358961,998;19H;;;;;;;;;;;;
28;TRUFULTRUFUL;ENERBOSCH;ENERBOSCH S.A;Melipeuco;Hidroeléctricas;CE04G054;PMGD;Operativa;no aplica;no aplica;1;S/E TRUFUL TRUFUL 23KV;0,836;2,028985507;0,819037681;;16-09-2009 0:00:00;ERNC;SAESA;;;;PMGD;Mini Hidráulica de Pasada;ARAUCANÍA;CAUTÍN;MELIPEUCO;1;MELIPEUCO;no aplica;no aplica;no aplica;no aplica;no aplica;269062,9722;5697580,06;19H;;;;;;;;;;;;
29;DONGO;HIDROELÉCTRICA DONGO;HIDROELECTRICA DONGO;Chonchi;Hidroeléctricas;CE01G070;PMGD;Operativa;no aplica;no aplica;2;S/E CENTRAL EL DONGO;6;0,039362578;5,997638245;;14-12-2010 0:00:00;ERNC;SAESA;;;;PMGD;Mini Hidráulica de Pasada;DE LOS LAGOS;CHILOÉ;CHONCHI;1;CHONCHI;no aplica;no aplica;no aplica;no aplica;no aplica;590769,0374;5286572,981;18G;;;;;;;;;;;;
30;MALLARAUCO;HIDROELÉCTRICA MALLARAUCO;HIDROELECTRICA MALLARAUCO;Melipilla;Hidroeléctricas;CE01G083;PMGD;Operativa;no aplica;no aplica;1;S/E EL PAICO 13.2KV;3,4;0,25;3,3915;;24-06-2011 0:00:00;ERNC;EMELECTRIC;;;;PMGD;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;MELIPILLA;MELIPILLA;1;MELIPILLA;no aplica;no aplica;no aplica;no aplica;no aplica;313990,9799;6281791,051;19;no aplica;;;;;;;;;;;
31;RÍO TRUENO;HIDROELÉCTRICA TRUENO;HIDROELECTRICA TRUENO;Vilcún;Hidroeléctricas;CE01G063;PMGD;Operativa;no aplica;no aplica;2;S/E LAUTARO 13.2KV;5,6;0,178571429;5,59;;06/06/2010 12:00:00 a.m.;ERNC;SAESA;;;;PMGD;Mini Hidráulica de Pasada;ARAUCANÍA;CAUTÍN;VILCÚN;1;VILCÚN;no aplica;no aplica;no aplica;no aplica;no aplica;757137,9829;5723373,98;18H;;;;;;;;;;;;
32;LA PALOMA;HIDROPALOMA;HIDROPALOMA S.A.;Ovalle;Hidroeléctricas;CE01G060;PMGD;Operativa;no aplica;no aplica;2;S/E MONTE PATRIA 13.2KV;4,6;4;4,416;;2010;ERNC;ENELSA;;;;PMGD;Mini Hidráulica de Pasada;COQUIMBO;LIMARÍ;OVALLE;1;OVALLE;no aplica;no aplica;no aplica;no aplica;no aplica;304884,9995;6601830,028;19J;;;;;;;;;;;;
33;LOMA LOS COLORADOS (KDM);KDM;KDM ENERGIA S.A.;Tiltil;Termoeléctricas;CE01G059;PMG;Operativa;no aplica;no aplica;2;S/E LOMA LOS COLORADOS 23KV;2;0;2;0,4;27/01/2010 12:00:00 a.m.;ERNC;no aplica;;;;PMG;Biogas;METROPOLITANA DE SANTIAGO;CHACABUCO;TIL TIL;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;331349,0086;6352180,034;19H;;;;;;;;;;;;
34;SKRETTING;NUTRECO;NUTRECO;Osorno;Termoeléctricas;CE01G045;PMGD;Operativa;no aplica;no aplica;2;SAESA;2,7;0;2,7;0;02-04-208;TÉRMICA;no aplica;;;;PMGD;DIESEL;DE LOS LAGOS;OSORNO;OSORNO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;660883,0272;5505294,066;18G;;;;;;;;;;;;
35;EL TÁRTARO;WENKE;WENKE Y CIA LTDA;Putaendo;Hidroeléctricas;CE01G109;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR PUTAENDO 12 KV;0,104;0,25;0,10374;;01/09/2010 12:00:00 A.M.;ERNC;CHILQUINTA;;;;PMGD;Mini Hidráulica de Pasada;VALPARAÍSO;;;1;PUTAENDO;no aplica;no aplica;no aplica;no aplica;no aplica;304884,9995;6601830,028;19J;;;;;;;;;;;;
36;ORAFTI;BENEO ORAFTI;ORAFTI;Pemuco;Termoeléctricas;CE01G056;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR CABRERO - BULNES 23 KV;0,5;0;0,5;0;27/02/2009 12:00:00 a.m.;TÉRMICA;SAESA;;;;PMGD;DIESEL;ÑUBLE;DIGUILLIN;PEMUCO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;736399,9982;5911781,032;18H;;;;;;;;;;;;
37;PUCLARO;HIDROELECTRICA PUCLARO;PUCLARO;Vicuña;Hidroeléctricas;CE01G040;PMGD;Operativa;no aplica;no aplica;2;MARQUESA 23 KV;5,6;4;5,376;;01/05/2008 12:00:00 a.m.;ERNC;CONAFE;;;;PMGD;Mini Hidráulica de Pasada;COQUIMBO;ELQUI;VICUÑA;1;VICUÑA;no aplica;no aplica;no aplica;no aplica;no aplica;320323,9999;6680308,014;19J;;;;;;;;;;;;
39;CAÑETE;SAGESA;SAGESA;Cañete;Termoeléctricas;CE02G018;PMGD;Operativa;no aplica;no aplica;2;S/E TRES PINOS 23KV;4;0;4;0;29-05-2007 0:00:00;TÉRMICA;FRONTEL;;;;PMGD;DIESEL;BÍO BÍO;ARAUCO;CAÑETE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;642511,9811;5822817,06;18H;;;;;;;;;;;;
40;CHUFKEN (TRAIGUÉN);SAGESA;SAGESA;Traiguén;Termoeléctricas;CE03G018;PMGD;Operativa;no aplica;no aplica;2;S/E TRAIGUEN 13.2KV;1,6;0;1,6;0;29-05-2007 0:00:00;TÉRMICA;FRONTEL;;;;PMGD;DIESEL;ARAUCANÍA;MALLECO;TRAIGUÉN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;704702,8835;5762726,002;18H;;;;;;;;;;;;
42;CURACAUTÍN;SAGESA;SAGESA;Curacautín;Termoeléctricas;CE06G018;PMGD;Operativa;no aplica;no aplica;3;S/E CURACAUTIN 13.2KV;2,4;0;2,4;;29-05-2007 0:00:00;TÉRMICA;no aplica;;;;PMGD;DIESEL;ARAUCANÍA;MALLECO;CURACAUTÍN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;253966,9694;5740174,998;19H;;;;;;;;;;;;
43;LONQUIMAY;SAGESA;SAGESA;Lonquimay;Termoeléctricas;CE12G018;PMGD;Operativa;no aplica;no aplica;2;S/E CURACAUTIN 13.2KV;1,2;0;1,2;0;21-07-2011 0:00:00;TÉRMICA;FRONTEL;;;;PMGD;DIESEL;ARAUCANÍA;MALLECO;LONQUIMAY;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;288310,9884;5730053,054;19H;;;;;;;;;;;;
44;ANGOL (LOS SAUCES);SAGESA;SAGESA;Angol;Termoeléctricas;CE08G018;PMGD fuera de servicio;Fuera de Servicio;no aplica;no aplica;2;S/E ANGOL;1,5;0;1,5;0;29-05-2007 0:00:00;TÉRMICA;FRONTEL;;;;PMGD;DIESEL;ARAUCANÍA;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;690893,9769;5795745,989;18H;;;;;;;;;;;;
45;LOS SAUCES II;SAGESA;SAGESA;Los Sauces;Termoeléctricas;CE15G018;PMGD fuera de servicio;Fuera de Servicio;no aplica;no aplica;2;S/E TRAIGUEN 66KV;1,5;0;1,5;0;2011;TÉRMICA;FRONTEL;;;;PMGD;DIESEL;ARAUCANÍA;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;690893,9769;5795745,989;18H;;;;;;;;;;;;
47;TIRÚA;SAGESA;SAGESA;Tirúa;Termoeléctricas;CE13G018;PMGD;Operativa;no aplica;no aplica;1;S/E TRES PINOS 13.2KV;1,9;0;1,9;0;21/07/2011 12:00:00 a.m.;TÉRMICA;FRONTEL;;;;PMGD;DIESEL;BÍO BÍO;ARAUCO;TIRÚA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;632464,9857;5757097,037;18H;;;;;;;;;;;;
48;BIOMAR;SAGESA;SAGESA;Calbuco;Termoeléctricas;CE01G018;PMGD;Operativa;no aplica;no aplica;3;S/E COLACO 23KV;2,4;0;2,4;0;2009;TÉRMICA;no aplica;;;;PMGD;DIESEL;DE LOS LAGOS;LLANQUIHUE;CALBUCO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;630309,0221;5373237,011;18G;;;;;;;;;;;;
49;DANISCO;SAGESA;SAGESA;Calbuco;Termoeléctricas;CE21G018;PMGD;Operativa;no aplica;no aplica;1;S/E COLACO 23KV;0,8;0;0,8;0;22-08-2011 0:00:00;TÉRMICA;SAESA;;;;PMGD;DIESEL;DE LOS LAGOS;LLANQUIHUE;CALBUCO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;629109,9811;5373248,007;18G;;;;;;;;;;;;
50;EAGON;SAGESA;SAGESA;Lautaro;Termoeléctricas;CE22G018;PMGD;Operativa;no aplica;no aplica;3;S/E LAUTARO 13.2KV;2,4;0;2,4;0;2009;TÉRMICA;no aplica;;;;PMGD;DIESEL;ARAUCANÍA;CAUTÍN;LAUTARO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;721310,9698;5731464,042;18H;;;;;;;;;;;;
51;JCE;SAGESA;SAGESA;Los Angeles;Termoeléctricas;CE20G018;PMGD;Operativa;no aplica;no aplica;1;S/E LOS ANGELES 23KV;0,8;0;0,8;0;09/01/2011 12:00:00 a.m.;TÉRMICA;FRONTEL;;;;PMGD;DIESEL;BÍO BÍO;BÍO BÍO;LOS ÁNGELES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;745387,9751;5842345,048;18H;;;;;;;;;;;;
52;LOS CORRALES;AGRICOLA PONCE;ALEJANDRO PONCE EIRL;Río Bueno;Hidroeléctricas;CE02G125;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR PILMAIQUEN - MANTIHUE 23 KV;0,8;0;0,8;;18-09-2010 0:00:00;ERNC;SAESA;;;;PMGD;Mini Hidráulica de Pasada;DE LOS RÍOS;RANCO;RÍO BUENO;1;RIO BUENO;no aplica;no aplica;no aplica;no aplica;no aplica;727041,0193;5496941,963;18G;;;;;;;;;;;;
53;LOUSIANA PACIFIC;SAGESA;SAGESA;Panguipulli;Termoeléctricas;CE32G018;PMGD;Operativa;no aplica;no aplica;4;S/E PANGUIPULLI 23KV;2,9;0;2,9;0;15-06-2009 0:00:00;TÉRMICA;no aplica;;;;PMGD;DIESEL;DE LOS RÍOS;VALDIVIA;PANGUIPULLI;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;716980,0094;5617922,98;18H;;;;;;;;;;;;
54;LOUSIANA PACIFIC II;SAGESA;SAGESA;Lautaro;Termoeléctricas;CE23G018;PMGD;Operativa;no aplica;no aplica;4;S/E LAUTARO;3,2;0;3,2;0;2011;TÉRMICA;no aplica;;;;PMGD;DIESEL;ARAUCANÍA;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;720505,027;5731037,986;18H;;;;;;;;;;;;
55;MULTIEXPORT I;SAGESA;SAGESA;Puerto Montt;Termoeléctricas;CE24G018;PMGD;Operativa;no aplica;no aplica;1;S/E MELIPULLI 23KV;0,8;0;0,8;0;2009;TÉRMICA;no aplica;;;;PMGD;DIESEL;DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;669196,0204;5407326,99;18G;;;;;;;;;;;;
56;MULTIEXPORT II;SAGESA;SAGESA;Puerto Montt;Termoeléctricas;CE25G018;PMGD;Operativa;no aplica;no aplica;2;S/E MELIPULLI 23KV;1,6;0;1,6;0;2009;TÉRMICA;no aplica;;;;PMGD;DIESEL;DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;669030,0108;5407391,975;18G;;;;;;;;;;;;
58;SALMOFOOD I;SALMOFOOD;SALMOFOOD;Castro;Termoeléctricas;CE06G124;PMGD;Operativa;no aplica;no aplica;1;S/E OSORNO 23 KV;1,6;0;1,6;0;2009;TÉRMICA;SAESA;;;;PMGD;DIESEL;DE LOS LAGOS;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;;;;;;;;;;;;;;;
60;SKRETTING OSORNO;SAGESA;SAGESA;Osorno;Termoeléctricas;CE27G018;PMGD;Operativa;no aplica;no aplica;4;S/E OSORNO 23KV;3;0;3;0;2011;TÉRMICA;SAESA;;;;PMGD;DIESEL;DE LOS LAGOS;OSORNO;OSORNO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;660884,0229;5505297,043;18G;;;;;;;;;;;;
61;SKRETTING PARGUA;SAGESA;SAGESA;Calbuco;Termoeléctricas;CE28G018;PMGD;Operativa;no aplica;no aplica;2;S/E COLACO;2,7;0;2,7;0;04/02/2008 12:00:00 a.m.;TÉRMICA;SAESA;;;;PMGD;DIESEL;DE LOS LAGOS;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;;;;;;;;;;;;;;;
62;SOUTHERN BULBS;SAGESA;SAGESA;Puyehue;Termoeléctricas;CE29G018;PMGD fuera de servicio;Fuera de Servicio;no aplica;no aplica;;;;;;;Desconectada 2012;no aplica;no aplica;;;;PMGD;-;DE LOS RÍOS;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;;;;;;;;;;;;
63;WATT;SAGESA;SAGESA;Osorno;Termoeléctricas;CE30G018;PMGD;Operativa;no aplica;no aplica;1;S/E OSORNO 23KV;0,8;0;0,8;0;01/01/2009 12:00:00 a.m.;TÉRMICA;LUZ OSORNO;;;;PMGD;DIESEL;DE LOS LAGOS;OSORNO;OSORNO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;661004,97;5504907,043;18G;;;;;;;;;;;;
64;WATT II;SAGESA;SAGESA;Osorno;Termoeléctricas;CE31G018;PMGD;Operativa;no aplica;no aplica;1;S/E OSORNO 23KV;1,6;0;1,6;0;01/01/2009 12:00:00 a.m.;TÉRMICA;LUZ OSORNO;;;;PMGD;DIESEL;DE LOS LAGOS;OSORNO;OSORNO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;661004,97;5504907,043;18G;;;;;;;;;;;;
65;CASABLANCA 1;TECNORED;TECNORED;Casablanca;Termoeléctricas;CE04G031;PMGD;Operativa;no aplica;no aplica;2;S/E CASABLANCA 12KV;1,6;0;1,6;0;2007;TÉRMICA;Emelca;;;;PMGD;DIESEL;VALPARAÍSO;VALPARAÍSO;CASABLANCA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;277324,011;6309987,988;19H;;;;;;;;;;;;
